Reference Number,Volume,Item number ,PARENT WORK TITLE,Creator ,Creator Role,Date Created,Creation Site,Location in The Bow in the Cloud,Notes
Eng 415,Box 2,190,Letter to MAR,"Raffles, Thomas (1788–1863)",Author,1833-11-09,England: Lancashire: Liverpool,,
Eng 415,Box 2,191,Letter to MAR,"Birks, Thomas Rawson (1810–1883)",Author,1833-05-15,England: Cambridgeshire: Cambridge,,Notorious cross-writing!
Eng 415,Box 2,192,Letter to MAR,"Wright, Thomas Giordani (1808-98)",Author,1833-06-24,England: West Yorkshire: Wakefield,,
Eng 415,Box 2,193,Letter to MAR,"Collins, William (1789–1853)",Author,1833-07-04,England: Glasgow,,Declining to submit. Collins was a schoolmaster who became a publisher in Glasgow (who had shepherded work by James Montgomery). His house eventually became Harper Collins.
Eng 415,Box 2,194,Letter to MAR,"Edward Harbord, Lord Suffield, 3rd Baron Suffield (1781–1835)",Author,1834-07-29,England: Norfolk: Norwich,,Prominent anti-slavery radical pol. 
Eng 415,Box 2,194+,Letter envelope for 194,"Edward Harbord, Lord Suffield, 3rd Baron Suffield (1781–1835)",,1834-07-29,England: Norfolk: Norwich,,
Eng 415,Box 2,195,"Letter to Mr Jackson (of Walford & Jackson, publishers)","Corbould, Edward Henry (1815–1905)",Author,undated [1833?],,,Jackson is the publisher of the book.
Eng 415,Box 2,196,"Letter to Mr Jackson or Mr Walford (of Walford & Jackson, publishers)","Corbould, Edward Henry (1815–1905)",Author,undated [1833?],England: London: London,,Includes his fee for the artworks: 4.40
Eng 415,Box 2,196a,Title page illustration (original),"Corbould, Edward Henry (1815–1905)",Artist,,,,
Eng 415,Box 2,196b,Title page illustration (engraved printing),"Corbould, Edward Henry (1815–1905)",Artist,,,,
Eng 415,Box 2,196c,Illustration (printed),,,,,,
Eng 415,Box 2,196d,Illustration (printed),,,,,,
Eng 415,Box 2,196e,Illustration (printed),,,,,,
Eng 415,Box 2,197,Letter to MAR,"Rawson, John",Author,1833-04-17,England: London: London,,
Eng 415,Box 2,198,Letter to MAR,"Rawson, John",Author,1833-04-23,England: London: London,,
Eng 415,Box 2,199,Preface [first few pages],"Rawson, Mary Anne (1801–1887)",Author,,England: South Yorkshire: Sheffield,v–xii,Fair copy in ink with significant revisions. Also differs in some ways from the final published version.
Eng 415,Box 2,199+,Preface [continued],,,,England: South Yorkshire: Sheffield,,
Eng 415,Box 2,199a(1),Notes for the Preface,,,1833-06,England: South Yorkshire: Sheffield,,
Eng 415,Box 2,199a(2)–199a(5),Preface (early draft),"Rawson, Mary Anne (1801–1887)",Author,,England: South Yorkshire: Sheffield,,Some early draft material that was superseded.
Eng 415,Box 2,199b,Contents,"Rawson, Mary Anne (1801–1887)",Author,,England: South Yorkshire: Sheffield,xiii–xv,Fair copy in ink.
Eng 415,Box 2,199c,Publication notes,"Rawson, Mary Anne (1801–1887)",Author,,England: South Yorkshire: Sheffield,,Includes proof sheet info.
Eng 415,Box 2,not labeled,Various newspaper clippings of Bow in the Cloud reviews,,,,,,
