Reference Number,Volume,Item number,PARENT WORK TITLE,Creator,Creator Role,Date Created (YYYY-MM-DD),Creation Site,Location in Bow in the Cloud,Language,Support,Extent,Notes,
Eng MS 414,Box 1,17,Letter to MAR; “For Who Taketh Thee to Differ?”,"Conder, Josiah (1789–1855) and Eliza",Author,1833-05-13,England: London: London,192–93,English,Paper,1  sheet folded,Josiah’s letter comes with his poem; Eliza’s letter is separate.,
Eng MS 414,Box 1,18,Letters to MAR,"Conder, Josiah (1789–1855) and Eliza",Author,1833-12-10,England: London: London,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,19,Letter to MAR; The Slave’s Lament,"Cunningham, Allan",Author,1826-05-16,England: London: London,57–59,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,20,Letter to MAR; Sonnet and Imitation,"Wrangham, Francis (1769–1842)",Author,1826-04-08,England: North Yorkshire: Hunmanby,38–39,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,21,Letter to MAR,"Wrangham, Francis (1769–1842)",Author,1833-10-06,England: Cheshire: Chester,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,22,Letter to MAR,"Howitt, William (1792–1879)",Author,1826-04-05,England: Nottinghamshire: Nottingham,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,22+,Photograph of William Howitt,Anonymous,Photographer,unknown,,,English,Photo card,,,
Eng MS 414,Box 1,23,The English Peasant,"Howitt, William (1792–1879)",Author,1826-04-05,England: Nottinghamshire: Nottingham,136–39,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,24,West-Indian Slavery,"Howitt, William (1792–1879)",Author,1826-04-05,England: Nottinghamshire: Nottingham,40–43,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,25+,Photograph of Mary Howitt,"Howitt, Mary (1799–1888)",Author,unknown,,,English,Photo card,,,
Eng MS 414,Box 1,25,Letter to MAR,"Howitt, Mary (1799–1888)",Author,1826-4-4,England: Nottinghamshire: Nottingham,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,26,Letter to MAR; Visions of Slavery,"Howitt, Mary (1799–1888)",Author,1826-10-10,England: Nottinghamshire: Nottingham,,English,Paper,1  sheet folded,"Letter comes with original poem submission. MAR made a fair copy (26a), whereas the Howitt’s other copy in her hand (29) pre-dates MAR’s fair copy. That is to say, leaf 29 pre-dates leaf 26a.",
Eng MS 414,Box 1,26a,Visions of Slavery,"Howitt, Mary (1799–1888)",Author,1833?,,233–38,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,27,"Letter to MAR, 1833, West-Indian Salesman","Howitt, Mary (1799–1888)",Author,1833-06-14,England: Nottinghamshire: Nottingham,,English,Paper,1  sheet folded,"“West Indian Salesman”, the enclosed poem, was apparently not published.",
Eng MS 414,Box 1,28,The Negro Mother,"Howitt, Mary (1799–1888)",Author,1833-06?-00,England: Nottinghamshire: Nottingham,44–49,English,Paper,,,
Eng MS 414,Box 1,28+,Negro Mother (last page),"Howitt, Mary (1799–1888)",Author,1833-06?-00,England: Nottinghamshire: Nottingham,,English,Paper,,,
Eng MS 414,Box 1,29,Visions of Slavery,"Howitt, Mary (1799–1888)",Author,1833-06?-00,England: Nottinghamshire: Nottingham,233–38,English,Paper,,,
Eng MS 414,Box 1,29+,Visions of Slavery (last page),"Howitt, Mary (1799–1888)",Author,1833-06?-00,England: Nottinghamshire: Nottingham,,English,Paper,,,
Eng MS 414,Box 1,30,"Letter to MAR, undated","Hamilton, Richard Winter (1794–1848)",Author,1826?,England: Yorkshire: Leeds,,English,Paper,1  sheet folded,"His poem “To a Slave” was published on pp. 49–50, but can’t find that ms",
Eng MS 414,Box 1,30+,"Picture of Hamilton, with press clipping announcing his death",Illustration of Hamilton,Author,unknown,,,English,Paper,,,
Eng MS 414,Box 1,31,Letter to MAR,"Wiffen, Jeremiah Holmes (1792–1836)",Author,1826-03-16,England: Bedfordshire: Woburn,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,32,Letter to MAR,"Wiffen, Jeremiah Holmes (1792–1836)",Author,1833-05-13,England: Bedfordshire: Woburn,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,33,Letter to MAR,"Wiffen, Jeremiah Holmes (1792–1836)",Author,1833-12-09,England: Bedfordshire: Woburn,,English,Paper,1  sheet folded,Interesting letter suggests titles for the volume.,
Eng MS 414,Box 1,34,Appeal for the Injured African,"Wiffen, Jeremiah Holmes (1792–1836)",Author,1826-08-09,England: Bedfordshire: Woburn,51–53,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,35,They Ask Me for Some Radiant Lay,"Wiffen, Jeremiah Holmes (1792–1836)",Author,1833-12-09,England: Bedfordshire: Woburn,391–95,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,36,Hope,"Ball, Dinah",Author,1825-11-05,England: London: Kensington,,English,Paper,,Ball was MAR’s governess. ,
Eng MS 414,Box 1,36a,Hope ,"Ball, Dinah",Author,1825-11-06,England: London: Kensington,,English,Paper,,,
Eng MS 414,Box 1,36b,Hope,"Ball, Dinah",Author,1825?,England: London: Kensington,54–55,English,Paper,,,
Eng MS 414,Box 1,37,Toussaint Louverture,"Ball, Dinah",Author,1825?,England: London: Kensington,,English,Paper,2 sheets folded and treated as 7-pg booklet,Unpublished poem,
Eng MS 414,Box 1,"38, 38+",Letter to Rev Richard Miles; Sale of a South African Slave,Anonymous,Author,1830-01-15,South Africa: Cape Town,56–62,English,Paper,2 sheets folded,MAR annotated the piece in pencil,
Eng MS 414,Box 1,39,"Letter to MAR, 1827","Brown, James Baldwin (1785–1843)",Author,1827-04-13,England: South Yorkshire: Sheffield,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,40,"Letter to MAR, 1833","Brown, James Baldwin (1785–1843)",Author,1833-06-13,England: London: London,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,41,To My Native Country,"Brown, James Baldwin (1785–1843)",Author,1827-04-13,England: South Yorkshire: Sheffield,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,41a,To My Native Country,"Brown, James Baldwin (1785–1843)",Author,1827?,England: South Yorkshire: Sheffield,63–65,English,Paper,,MAR’s fair copy,
Eng MS 414,Box 1,42,The Negro Burial Ground,"Brown, James Baldwin (1785–1843)",Author,1833-06-13,England: London: London,,English,Paper,,,
Eng MS 414,Box 1,42a,The Negro Burial Ground,"Brown, James Baldwin (1785–1843)",Author,1833?,England: South Yorkshire: Sheffield,108–9,English,Paper,1  sheet,MAR’s fair copy,
Eng MS 414,Box 1,43,"Letter to MAR, 1827","Sterndale, Mary",Author,1827-02-28,England: South Yorkshire: Sheffield,,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,44,"Letter to MAR, 1833?","Sterndale, Mary",Author,1833?-03-20,England: South Yorkshire: Sheffield,,English,Paper,,,
Eng MS 414,Box 1,44a,"The Slave Ship, by S.","Sterndale, Mary",Author,1827?,England: South Yorkshire: Sheffield,66–67,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,44b,Supposed to be Spoken by a Negro…,"Sterndale, Mary",Author,1833?,England: South Yorkshire: Sheffield,,English,Paper,,,
Eng MS 414,Box 1,44c,Supposed to be Spoken by a Negro…,"Sterndale, Mary",Author,1833?,England: South Yorkshire: Sheffield,,English,Paper,,,
Eng MS 414,Box 1,# 44d,The Children Restored Drawing,"Sterndale, Mary",Author,1833?,England: South Yorkshire: Sheffield,,English,Paper,,Unpublished drawing,
Eng MS 414,Box 1,45,"Letter to MAR, 1834","Bowring, John (1792—1872)",Author,1834-07-11,England: London: London,,English,Paper,1  sheet,,
Eng MS 414,Box 1,45+,Pencil drawing of John Bowring,Anon.,Author,unknown,,,English,,,,
Eng MS 414,Box 1,46,The Negro,"Bowring, John (1792—1872)",Author,1826-02-04,England: London: London,68–71,English,Paper,,,
Eng MS 414,Box 1,47,"Letter to MAR, 1826","Edmeston, James (1791–1867) ",Author,1826-03-13,England: London: Homerton,,English,Paper,,Covering letter for “trifle” of “Death of the Slave”,
Eng MS 414,Box 1,48,The Death of the Slave,"Edmeston, James (1791–1867) ",Author,1826-07-21,England: London: Homerton,72–73,English,Paper,,,
Eng MS 414,Box 1,48+,"Letter to MAR, 1826","Edmeston, James (1791–1867) ",Author,1826-07-21,England: London: Homerton,,English,Paper,,,
Eng MS 414,Box 1,49,"Letter to MAR, 1833; Futurity","Edmeston, James (1791–1867) ",Author,1833-04-08,England: London: Homerton,367–69,English,Paper,,Also appended a previously-published poem which MAR did not include,
Eng MS 414,Box 1,50,"“A Voice from America’s Plains”; ""A Cry from the Isles of the West”","James, Paul Moon (1780–1854)",Author,1833?,,74–77,English,Paper,,,
Eng MS 414,Box 1,51,Letter to MAR,"Bulmer, Agnes (1775–1836)",Author,1833-04-13,England: London: London,,English,Paper,,,
Eng MS 414,Box 1,52,Letter to MAR,"Bulmer, Agnes (1775–1836)",Author,1833-12-16,England: London: London,,English,Paper,,,
Eng MS 414,Box 1,53,Song. The Negro is Free!; Letter to MAR,"Bulmer, Agnes (1775–1836)",Author,1834-01-31,England: London: London,,English,Paper,2 sheets folded,,
Eng MS 414,Box 1,53a,Song. The Negro is Free!,"Bulmer, Agnes (1775–1836)",Author,1833?,England: South Yorkshire: Sheffield,380–82,English,Paper,1  sheet,MAR’s fair copy,
Eng MS 414,Box 1,"54, 54+",Liberty,"Bulmer, Agnes (1775–1836)",Author,1833?,England: London: London,78–88,English,Paper,1  sheet folded,,
Eng MS 414,Box 1,"55, 55+",Remarks on the Christian Duty,"Gurney, Joseph John  (1788–1847)",Author,1833-18-07,,,English,Paper,,,
Eng MS 414,Box 1,55++,"Covering letter to MAR, and Newspaper woodcut? picture","Gurney, Joseph John  (1788–1847)",Author,1833-18-07,,89–95,English,Paper,,,
Eng MS 414,Box 1,56,A Tale of Slavery,"Taylor, J. R.",Author,1826-09-00,England: West Yorkshire: Bradford,,English,Paper,2 sheets,Unpublished poem; includes suicide…,
Eng MS 414,Box 1,56+,A Tale of Slavery; note to MAR,"Taylor, J. R.",Author,1826-07-10,England: West Yorkshire: Bradford,,English,Paper,1  sheet,,
Eng MS 414,Box 1,56a,A Tale of Slavery,"Taylor, J. R.",Author,1833?,England: West Yorkshire: Bradford,,English,Paper,1  sheet folded,MAR’s fair copy,
Eng MS 414,Box 1,57,The Death of a Female Slave,"Knibb, William (1803–1845)",Author,1833-04-10,England: West Yorkshire: Bradford,103–5,English,,,,
Eng MS 414,Box 1,58,"Letter to MAR, 1833?","Knibb, William (1803–1845)",Author,1840-06-01,England: London: London,,English,,,,
Eng MS 414,Box 1,59,The Little African Pleader,"Knibb, William (1803–1845)",Author,1833?,,132–33,English,,,MAR’s fair copy,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
